0 0 2 1
1 1 2 1
-1 -1 2 1
-1 1 2 1
1 -1 2 1
2 -2 2 1
-2 2 2 1
-2 -2 2 1
2 2 2 1
100 100 2 2
101 101 2 2
101 100 2 2
101 100 2 2
102 101 2 2
101 102 2 2
102 102 2 2
-50 -59 2 -1
-50 -60 2 -1
-60 -60 2 -1
-60 -50 2 -1
-55 -55 2 -1
-56 -56 2 -1
-56 -55 2 -1
511 511 0 0
511 512 0 0
511 513 0 0
512 512 0 0
511 514 0 0
514 513 0 0
500 500 0 -1
501 501 0 -1
502 502 0 -1
501 502 0 -1
502 501 0 -1
2 501 1 -1
 532918,448389906
245927,717441685 -271576,234430635
-58931,3502578015 55551,6310819814
20015,4029546713 -573770,493743182
266072,670671262 -61549,3651599099
-29866,3037547997 172773,954624973
303051,071587168 5696,30947526652
166591,72976885 484390,26447544
-37441,8987467428 134321,181553923
321569,996228316 -391354,571672993
207051,05284143 -230458,773744558
14850,0912643499 -321876,984416712
-271090,807666203 -41568,2991508768
84594,2941522274 -441599,802527815
286566,912414207 93420,2492691694
19809,053109936 213608,380904438
-56238,4518822462 -434406,479767906
111346,03009642 -112298,073084031
233668,118997788 -13988,8969819382
-220935,509817361 638960,293581713
-190231,376033439 117786,841893761
-742892,177509299 301496,540899547
347059,608062989 428353,639591083
564140,232724127 265383,319126637
-44838,9581659329 335116,437122054
-543214,646247393 350845,372618337
-68174,0378490109 1620,60613617143
228702,832763336 362315,23661197
-164553,8231458 109831,858715129
-192137,404822795 493682,341573847
17523,1846565097 23286,3860965373
-167319,214438069 -334931,841876341
857260,274435893 -788614,643394022
-164963,108287865 394550,391603183
701719,287306731 591776,94449085
-196379,230905108 -409123,865956545
208845,904026366 -798953,929959125
458839,505382056 -387829,44447307
-221627,595130982 512346,305097195
450861,057871585 61538,6387272382
540554,695204936 -484650,967036507
317481,773155684 -378380,850154097
-117948,181635378 -215206,202530888
9945,72802514104 -18420,6610810695
494134,294324776 -37002,2970905482
44698,9503548476 344070,259748048
30388,1666904754 458501,752570223
461674,189399503 219561,276994167
-55510,8426012652 543558,134646711
-147984,549838647 -14210,6551403816
-216866,100928234 465671,838289043
-211527,790466851 -15299,0782852858
-482282,092777892 -100093,974887593
-70586,7557644922 -417264,401469745
260545,210450089 -462390,807511076
-302189,731065945 -229511,872715018
-486618,649337843 -332438,961202863
-323770,334880574 86634,8511695442
-16944,8171738027 -310511,798228368
11369,4660997435 672364,944060186
240277,09287464 10011,3517536462
468917,856600126 572398,194647679
-317051,063035781 -551878,815876482
-35359,0338310623 643862,657386433
-389458,447099246 -25863,3875170985
35047,7038029957 486624,670111155
-665656,79516308 80163,3739523363
-90486,337802617 -352920,66739961
258165,539539474 329779,143748524
11649,5981293542 -15170,663279286
-166108,502775474 -249188,566040418
12024,4778155538 426325,44700033
-205968,761693749 -603942,543209313
326916,146506183 470320,118192284
67564,6006008203 862378,994770402
-428643,961519189 -43487,4638501259
-269472,390453144 41356,0735302423
355808,852569268 -65322,3104581713
-19697,159300082 -247010,326870677
6313,02071733448 -882829,1789075
-896067,673575846 -83594,9511507689
17614,7066798013 54694,7137111941
7847,3234320317 176258,551346644
-363549,811278596 -202195,52987257
86388,4993985614 190745,135602675
-173194,64783531 549531,894597586
-52500,965013097 630404,433180146
-123426,934005784 640775,885350449
-771926,668785998 206441,013055333
32546,4600476741 44986,361696602
-418708,956712002 88118,0673396755
444316,997904094 517402,280274286
329638,402280051 343074,499066832
-18353,1125800633 67960,1042663656
-364045,787454096 333001,369089081
-535989,840160938 -250154,900888537
-401295,567741289 -53523,2401681287
2532,91084952415 483139,308300023
20014,2178272541 789576,454285406
-246812,90554572 397033,592041422
-226392,947747342 -413495,544671282
-52286,8422502535 -393429,422452348
-204721,774982315 -106276,680745388
-4295,34815706748 -190735,403049765
-63888,7109955795 -361076,293573434
-309441,359811783 -544462,108733608
178611,218140951 -15449,565222088
-418308,930360047 -415776,568651678
20349,5428823598 -262999,924997363
293000,591886192 616232,445391916
132243,45148442 568105,568638121
617296,483770712 -395412,434022817
-187931,218330426 72336,1451015427
-896642,944470906 -146632,57150192
-202815,451478593 46294,3283152451
-78834,8130677952 404114,860532131
-37197,7065647057 69806,4234233454
100015,356959006 -88338,4471561194
-30735,1333151698 -603751,800190914
182649,870684606 464532,436488195
-272596,815956146 138252,771302691
-281974,379342387 172018,2681938
787022,976486846 44121,7620779657
559054,060593578 33948,2300148291
20221,9980831714 -81276,1587864422
-517603,895246221 54613,6936943795
-329248,091395147 -181974,399233174
215600,814054624 -6641,1353475969
285189,786186143 525757,007323612
90191,2072013417 9010,74336792843
40942,7975858035 -246138,287374991
31313,0683394051 643541,179375763
535496,706496004 -200340,038185358
234722,363508742 342897,803990656
432228,485091347 -244166,492468924
-966585,790072304 313515,530068522
10097,0019031297 44458,903574822
571187,620565781 122576,21075286
63708,946216789 -1840,31691305727
-137162,324051072 17337,1927122731
356682,647962561 5242,12310806016
-662234,741481275 -175182,424202345
235178,338068625 96570,4474782573
-108453,321675852 -748435,628086777
-384262,530045026 -44863,2873305647
39607,4606346015 37276,6773130478
-132109,650709925 -336021,513210051
547474,408261315 -97367,0027176649
46832,2573897821 90358,1629824537
-482316,124247214 59405,1641216852
-124241,95033826 -138177,991106025
-577363,574654856 -364589,651797034
-335390,788762197 419111,836278226
40900,2608038798 16833,4778075225
334151,332385398 847405,932337201
-16358,230676002 -8155,26968545805
-336071,462481893 -34895,7658859439
48000,0712886844 175687,563832669
-203504,728407376 183973,377673647
-111436,730839626 -396626,332961976
-667782,731352801 -108702,201659099
371373,417316771 67409,8845211425
-58034,8335586949 160486,872790982
393261,353708855 -154832,476492045
147859,296173835 -158542,871630667
-9822,24927278247 474026,753013525
316043,403004533 -30890,5409220623
71976,5805674049 156950,643282422
250299,73371803 509141,212676656
-27187,5187681269 -403573,307357807
-665392,58100269 256816,480661951
240655,54674303 225494,105777966
-248943,337427073 -6602,07677579209
-551234,962077464 -5170,88163358154
430693,695166462 -179242,3094354
-335320,342493578 69097,21313521
209425,439216719 97418,2138648812
398185,760481388 -467631,174580449
-495872,979256856 -249753,497413624
-185066,338163982 107684,204217153
259870,210319515 292558,237303051
473653,040732539 -16894,1067527002
-64702,209625708 670175,157848394
542817,546997739 133899,005797508
489120,083561394 -402119,99048877
35247,80721228 270852,532481628
-519013,299059757 -486448,135932971
-80163,9867432248 186148,837388303
-448621,099839122 288113,554981702
-15338,35012993 -105378,947640843
-558399,968804426 8976,54040928629
87423,0610064562 126460,165413194
518416,950008093 91319,8138207196
437654,347148637 -158504,916067476
448445,074818033 -3414,88590636798
46927,9098099283 177827,706970651
-59084,9427146301 24472,7257375977
140333,106106966 -307504,825237471
-381,951167365513 99352,1797223376
277255,305691486 645903,117934253
-535195,60482094 298994,736889769
-685048,121541461 -158185,525451024
-1395,62811293994 -148,633522350636
-15704,3844531385 130446,753035329
-761534,480784334 302464,425814532
334381,354963864 -116338,985100413
7851,00150198536 86939,3520274429
-70482,6984408492 16234,0958718881
47253,2513204162 508927,385855898
765470,5674261 324651,822201541
311830,57400097 123293,608837134
53915,2726243861 85055,3275331405
-38666,5863161518 450629,966787035
356974,619614414 619037,438548663
-247529,160123881 -434169,280888862
-260606,138253734 147625,8214132
-207654,762978044 -27784,480333823
-231207,252524152 -19404,1847802127
-281927,066148188 38819,1056624842
76317,608478687 398037,414600067
-275756,789629073 -57263,8346855789
-3688,28798662 -85787,6873672901
-51937,3468831332 -256557,287193021
119690,834977614 -222147,578765549
-8930,80135110337 -303494,317543844
307405,332259482 196935,86844372
175711,710587019 288440,630095771
315354,517819477 190505,739494397
828922,565232725 266984,079834893
-571610,326959097 143487,336409027
227126,609836887 144577,290327496
35542,4373467818 42636,9734795005
-941781,673149096 -211565,260755616
485190,491607484 179396,250882459
452921,863840316 157796,70709498
-611905,059065693 -317683,722311854
-87042,6085942186 -711356,167707577
-280378,109910184 77426,386947728
516345,583653711 -1780,71611943502
439295,27932537 156395,027863999
415881,557977242 198206,487425578
-124149,365359987 -246674,059954563
-181585,3397432 72511,8251572311
-729375,627075033 -130783,763035205
776197,182467686 380287,558469891
-58197,2204728225 298499,530409695
-17454,9001252129 -19474,8448269977
-237424,404921985 911,843761970216
-356831,054136517 -294830,66112331
-415190,730549075 -14769,8266433532
433340,098871044 1175,68223303635
106873,365107087 40422,0822427511
13826,9815709642 99092,100559122
13747,259036664 382879,85821441
99374,5135730326 -26311,6670324242
-48363,3669225748 -64608,6765092987
374064,659875439 -579943,556641947
213075,539568126 -174374,660344411
-45912,8602806166 -55817,7981426422
-155564,480984414 605728,362375721
-187283,418308093 131744,357382595
197579,200448906 226182,784752152
90585,925397119 219404,653082144
192667,75828457 -474682,548807805
-591827,532169513 -424318,545499853
-35970,3452150525 -82138,77771756
50373,4664502393 1280,26980394324
-700821,018070739 -94909,2838328272
-127533,769729115 -855032,970560071
52644,9993783729 -143067,585716172
-490632,332852695 315275,058168877
-210926,279468333 -4096,83998893986
-276498,705794357 564495,001029919
157845,939374517 68931,6799617418
811446,189004895 -596834,151501443
660492,858410864 -53143,7598372822
457573,621770765 -27156,1730014054
-183776,91933968 -227722,992586322
-889,566936207734 631273,082140031
-38554,5565171989 -103037,184568633
46762,4997258175 163996,41864568
562756,927858056 -130865,208598138
48516,6227004019 -602290,558779976
103389,11380807 -148684,934374091
-68579,6437761605 16668,239918897
-993475,15596838 -22142,4106935507
-61482,7809957153 -268227,884146957
-501502,521427763 322786,877026664
106944,70813119 -636015,189154453
94392,5148706373 110024,177038902
-13378,5296593693 8423,99325016141
-299816,144862984 646836,683000978
253893,365864301 160556,896419848
124393,900935323 -160843,595534151
-433547,851490068 410154,921198743
-76353,4671893932 -112835,079485474
-45487,0163515727 -894975,838785306
55672,9403412216 -295918,099462918
-335900,537941898 -526013,284052123
-85141,3933842082 405871,478141975
49348,8192150392 374943,090709489
242435,990552254 -388296,120841642
-188746,184367268 -59,198479035496
-365602,887893281 185005,436690357
89575,5531511863 51122,5585994867
233015,997112431 -52170,7010922803
-592141,413282725 -128643,683876252
45177,3781960576 -145158,099350552
139521,94067371 56426,3005960841
681922,260773081 135186,892259698
178483,148850726 27329,7023981687
-47178,5691486297 324942,517798026
314416,214440016 -128919,8428952
-329399,617490948 -434533,182051642
-608312,659463157 -170351,610187903
-26337,1078965781 -450628,811228494
-107058,936686109 -290960,524789065
155873,49524764 237436,377979726
225877,234736742 -243640,927125678
-102349,89312002 -102175,091891531
-439530,135115286 -117969,87121342
-589046,419806293 249335,977057762
-262091,508590121 -270125,649032716
-212160,618517107 83157,0446911739
719339,257352089 422220,780557735
324651,019049866 128110,011778959
-265877,860056925 91855,5622538764
-67233,9342419714 -247222,751330796
50057,0789052979 325209,272067439
99017,8505140216 196476,753320561
-21134,9407759378 361156,416513718
41970,451967695 187222,164565097
46,693917969 608213,60529442
30300,3690795882 386267,126482887
140239,318715542 216968,592444994
